Ticker.Symbol,Period.Ending,current_ratio,quick_ratio,cash_ratio,debt_equity,debt_ratio,net_margin,gross_margin,operating_margin,roa,roe,interest_coverage,asset_turnover,inventory_turnover
LH,2012-12-31,-0.42605882669747375,-0.2186492082748776,-0.11313727723633175,-0.2736587311612384,0.10671875763613319,0.06188620309937711,-0.3077906995902596,0.18744854138558834,0.22114260512161035,0.12680136964638958,-0.11294159666897827,-0.04567261312651477,0.7028966789109877
LH,2013-12-31,0.028165863092750553,0.21442143851602402,0.056116561235766,-0.08254472129895117,0.3563627020629323,0.03905255417565842,-0.3686861651936676,0.14191827981161614,0.1741664290404831,0.19426561496578912,-0.11458738950040402,-0.0468584576040472,0.6149648847515446
LH,2014-12-31,-0.13473122713549784,0.07419634759625332,0.13595892309403126,-0.21657139196150257,0.1872595116082355,-0.038984185749783684,-0.4399811705935069,0.053498695820800496,0.005364343381514295,-0.016067999636485426,-0.12030730023983387,-0.061989598356930256,0.6602224273582851
LH,2015-12-31,-0.2638766477783289,-0.03959674483180344,-0.17145123036199097,-0.030660072959546078,0.415283058210358,-0.23587411335661357,-0.580039124360106,-0.1121732781262693,-0.5311055871640324,-0.41413951388503,-0.13396409944675067,-0.36843737022084794,0.7887533559210166
LKQ,2012-12-31,0.7098902421810519,-0.42023888827204503,-0.70182910394453,-0.6647541806819606,-0.6467730319366612,-0.16197078909619728,-0.2136429075641764,-0.15516635187787273,0.007364177681499266,-0.2228321913078468,-0.10385644797510853,0.34665458347525085,-0.4154618127515064
LKQ,2013-12-31,0.5703123572057667,-0.35821483841459334,-0.5250987287084303,-0.6476107812090697,-0.6038081624959996,-0.17220758702708,-0.2496651453727535,-0.1620764791803304,-0.008949282769316981,-0.2247039944761115,-0.11432419650049394,0.36542806089407465,-0.41062701848583427
LKQ,2014-12-31,0.8368087290211861,-0.349357353849793,-0.6459729084500634,-0.5891652714186256,-0.46583878243399673,-0.20029344423249149,-0.3218825781795825,-0.2004144122720264,0.0007805524222010911,-0.19184506939056445,-0.1151712450566056,0.5245267646236915,-0.40724380336020866
LKQ,2015-12-31,0.9209176278975678,-0.3775326657861286,-0.7129670975154921,-0.7180830787264226,-0.7884586666788923,-0.18760403601364664,-0.31972192447294995,-0.1932780020041865,0.07261553426173069,-0.21049020993649112,-0.10899771357745171,0.5858620472744731,-0.4094568668961637
LLL,2012-12-31,-0.12269602684787027,0.08979620505264989,-0.6775350453648801,-0.25355164124587265,0.13572730852809226,-0.1820767663122239,-1.6072984138213386,-0.1848380342043422,-0.17485236736108367,-0.17643187561848125,-0.1238355907713393,0.12001073058674942,0.9072043695964109
LLL,2013-12-31,-0.07876886448073833,0.13405524442795952,-0.5715125344179085,-0.37624285964409154,-0.0532696683447219,-0.14833823183643782,-1.6159790511967573,-0.19398978498113684,-0.21848527007330448,-0.2547011293439777,-0.12381816377053839,-0.07349741890303069,0.6972978423653737
LLL,2014-12-31,0.18444053207035607,0.4454696799121503,-0.6213307720318828,-0.2125306163676795,0.19275271515320372,-0.17852958449014975,-1.640901198527997,-0.2202645009189247,-0.2895135817032776,-0.25438264038479214,-0.125895070325217,-0.09405446489070642,0.980283274627467
LLL,2015-12-31,-0.3367049393328291,-0.12081616338573659,-0.7917102726777994,-0.09620167891658665,0.340287373159783,-0.6515588792949786,-1.6718917250101402,-0.4359226024865312,-1.2217394795819478,-1.0290278972360545,-0.13641564792125263,-0.0005042731583643458,0.7237765079484813
LLTC,2013-06-30,-0.123367373272854,0.1341160326868877,-0.7001211098949378,-0.508752308072457,-0.2950861291697943,1.2791358739027652,1.2321074632357596,1.4174166951420288,1.6973614555474459,0.9832834476739983,-0.10994062106819259,-0.3673878139187772,-0.3703005096229982
LLTC,2014-06-29,3.3945940892357083,3.6418406408482284,0.3798128860878928,-1.0865388405933256,-2.28084517330343,1.3582054215959067,1.2656383656778296,1.480993035087219,2.8429293533789766,0.6878086883644319,-0.09915926356547757,-0.03996284810305969,-0.36983426117136015
LLTC,2015-06-28,5.1703270993384445,5.453512291539924,0.9810266259379575,-1.1185447323200461,-2.4777163480612305,1.482290279694225,1.2775346379431485,1.4903643785952563,2.8249469122178987,0.6221370533968504,-9999.0,-0.12005844269543448,-0.37620005847603566
LLTC,2016-07-03,6.002158950759492,6.35364609815883,1.6834910838252917,-1.1371127030102042,-2.5995948360727787,1.4482860748697244,1.2762389161325374,1.4078876397008662,2.342111801096357,0.41150600437961543,-9999.0,-0.24717829164445732,-0.3773801286282251
LLY,2012-12-31,-0.2722367632605849,-0.21580490082709514,-0.06843527386468759,-0.3845054664028676,-0.06795664984405482,0.5048346398925724,1.4042352426393945,0.45878749571207034,0.6723534871877578,0.39392457403845405,-9999.0,-0.3011583941779959,-0.4525155587282316
LLY,2013-12-31,-0.33690235030048843,-0.2964143289507746,-0.15631856175264253,-0.5982058727756633,-0.4871432876758893,0.628555576736088,1.4035837037431766,0.530494795182992,0.8641768511195116,0.3459234076350668,-9999.0,-0.303146532142009,-0.4585597066775382
LLY,2014-12-31,-0.5245723630285617,-0.45957713859413707,-0.21335287601580422,-0.3640460484556716,-0.03451855920714856,0.16998858559663566,1.2324060627307647,0.06048657235019135,-0.051573022541611536,-0.12641225300916575,-9999.0,-0.4692816157069602,-0.4531295034992693
LLY,2015-12-31,-0.2923840816263337,-0.32286082355362294,-0.12797327072324174,-0.31299623451193037,0.045966371876187476,0.16319085727710272,1.2283652703374361,-0.0002720276666057964,-0.026030929993784042,-0.08447187426107468,-9999.0,-0.43925544694628377,-0.46790141486769365
LMT,2013-12-31,-0.544395433888201,-0.4697352837124124,-0.5013506885564127,2.867655802313866,1.6659663606437871,-0.14856647830747474,-1.640057157117146,-0.1870210285389917,0.1742029098896903,1.8049450346459792,-0.1069685004001532,0.5569083203836909,0.07207094135265275
LMT,2014-12-31,-0.613109022063397,-0.5310407046323564,-0.6882634585048674,5.1552982777397744,1.926560892056279,-0.008138772749084242,-1.530963147211694,-0.06635215652042759,0.38146165054059056,3.7626926329269623,-0.10149588745272889,0.3049173394232891,0.01733386602304623
LNT,2012-12-31,-0.7157565893004156,-0.5983343829820387,-0.8825188836499958,0.23572501119284545,0.672512785534824,0.09404867154935495,-0.6999066899683,0.12965422848426486,-0.5255829395961265,-0.3542029743136147,-0.1349349820968498,-0.8338449524939938,-0.07260539258097928
