Date,Close,High,Low,Open,Volume,return_1d,volatility_21d,ma_20,ma_50,ma_200,rsi,macd,macd_signal,ema_50,ema_200,stoch_k,stoch_d,bb_upper,bb_lower,obv,anomaly
2018-02-05,68.49592590332031,70.85965341907233,68.31343311233456,70.39038340079149,1883700.0,-0.029549253042772783,0.014668174665241644,72.47211647033691,,,33.26777658051253,-1.385066439574942,-1.166463896779459,74.49859892650272,76.47491839809409,3.2863646784191842,12.796811472465023,75.98894301173173,68.9552899289421,-8897200.0,0
2018-02-06,68.98079681396484,69.24288457734914,67.08504954301372,68.15959470951819,2169600.0,0.007078828474103904,0.014848313395971396,72.11920547485352,,,34.982341080246016,-1.5029232318456138,-1.23375576379269,74.28221452993262,76.40035002412266,27.955049026628746,12.558942631406131,75.54431214217679,68.69409880753024,-6727600.0,0
2018-02-07,68.107177734375,69.66221486434192,68.107177734375,69.0157401770321,1268700.0,-0.012664670748091189,0.01465971540868278,71.75694122314454,,,32.1880083662561,-1.6478242551378486,-1.3165694620617217,74.04005622422449,76.31783089686148,15.07249628621018,15.437969997086038,75.27356776434618,68.24031468194289,-7996300.0,0
2018-02-08,66.4472885131836,68.54397006644429,66.42981911068848,67.94117237027552,1572000.0,-0.0243717222825639,0.015234876061077351,71.3555679321289,,,24.10722965522413,-1.874984889263672,-1.4282525475021117,73.74230062771308,76.21961654478508,0.23490978343388755,14.420818365424275,75.36412559415861,67.3470102700992,-9568300.0,0
2018-02-09,68.08969116210938,68.73616568644067,66.73558254280495,66.92777929291698,1775400.0,0.024717376520185796,0.01655362832033405,71.07802696228028,,,34.093895859853305,-1.9005745207668951,-1.5227169421550686,73.52062966827764,76.13872176485796,22.32017862296107,12.54252823086838,75.18783416703553,66.96821975752502,-7792900.0,0
2018-02-12,68.07221221923828,68.43912963658919,67.32963935121863,68.32556186412339,1016900.0,-0.00025670468719674044,0.016491938849468372,70.96950569152833,,,27.88054137384833,-1.9003587400851387,-1.5982453017410827,73.30696623890354,76.05845798828463,22.08514055078594,14.8800763190603,75.28182481608938,66.65718656696727,-8809800.0,0
2018-02-13,68.8147964477539,68.95457834324952,67.53931664461065,67.9936011398038,921200.0,0.010908771792578209,0.013575939562956114,70.83771629333496,,,33.30729747107418,-1.8192956829732907,-1.6424553779875244,73.13080271768199,75.9863817540505,32.07061660532534,25.49197859302412,75.2481208190713,66.42731176759862,-7888600.0,0
2018-02-14,68.43040466308594,68.85847502333075,67.86255241735954,68.22946986899795,725600.0,-0.0055858885662738444,0.012954447568792698,70.67410545349121,,,28.299745713651575,-1.7657157585660315,-1.6671074541032258,72.94647338220764,75.91119790239911,26.901728263815265,27.019161806642188,75.1909078059387,66.15730310104371,-8614200.0,0
2018-02-15,69.63600158691406,69.64473962207173,68.44788208185321,68.51777303277865,718100.0,0.01761785466217569,0.013602357442842987,70.57512016296387,,,33.19733568143536,-1.6074420944251528,-1.6551743821676115,72.8166509588628,75.84875813806593,44.95175306984406,34.64136597966156,75.09180793970579,66.05843238622195,-7896100.0,0
2018-02-16,70.326171875,70.81539528562415,69.39140190674651,69.61854420389449,1012700.0,0.009911113107557101,0.013820899907423637,70.48457336425781,,,39.87930251606763,-1.4100637637047697,-1.6061522584750432,72.7189851124368,75.79380703097075,59.092218653665576,43.64856666244163,74.9416297567535,66.02751697176213,-6883400.0,0
2018-02-20,69.75829315185547,70.61444046267768,69.513681538811,70.10774116984753,1026000.0,-0.008074927271086163,0.013779617508014432,70.36780586242676,,,39.81214701910431,-1.2846543854857657,-1.5418526838771878,72.60287954535518,75.73375216650196,54.193666610817,52.74587944477554,74.76938703205685,65.96622469279667,-7909400.0,0
2018-02-21,68.88470458984375,70.8153975134167,68.85849714418858,69.05069396588557,1250400.0,-0.012523078225409323,0.01398459540348392,70.15347938537597,,,36.87796042396902,-1.2414472150702665,-1.4817715901158035,72.45706876278611,75.66560243937103,39.97004140024231,51.08530888824163,74.39482394178087,65.91213482897108,-9159800.0,0
2018-02-22,68.78858947753906,69.49622366426593,68.36925711852906,68.90216393469535,988200.0,-0.001395304122692842,0.013434010839319097,69.95389900207519,,,40.172074157299036,-1.20111519917279,-1.4256403119272008,72.31320683003132,75.59717444970106,46.41798653392483,46.860564848328046,74.04791000688401,65.85988799726637,-10148000.0,0
2018-02-23,70.4397201538086,70.58824007527089,68.84973784510895,68.84973784510895,655800.0,0.024002973295573327,0.014634450082442605,69.8029842376709,,,49.45343254709076,-1.0241139908991812,-1.3453350477215968,72.23973676429709,75.54585649650811,90.52033922648131,58.96945572021616,73.56193380695387,66.04403466838792,-9492200.0,0
2018-02-26,70.5882568359375,71.32209192258085,70.39606002795887,71.19978607480697,804200.0,0.002108706306677144,0.014452754312594756,69.64168090820313,,,59.4776355641323,-0.8619179358038593,-1.2486516253380495,72.1749728455379,75.49652714665169,85.0001192725902,73.97948167766545,72.92229444355058,66.36106737285567,-8688000.0,0
2018-02-27,69.85440826416016,71.58417270192021,69.65348010464939,70.7542326271467,986700.0,-0.01039618492751515,0.014485080908410894,69.49582595825196,,,53.86991023630563,-0.7835594546509839,-1.1556331912006366,72.08397031293484,75.44038666025874,66.44071061204214,80.65372303703788,72.43182703872593,66.55982487777798,-9674700.0,0
2018-02-28,69.33026123046875,70.55332663830316,69.33026123046875,69.78453923986254,1069300.0,-0.007503420996843868,0.014290541542666886,69.35113868713378,,,55.59110623771478,-0.755050328747032,-1.0755166187099157,71.97598172146557,75.37958939230063,56.27169476138235,69.23750821533822,71.99136354936445,66.71091382490312,-10744000.0,0
2018-03-01,69.14678192138672,70.21259565133595,68.48283118278144,69.26034972377687,1233900.0,-0.00264645345085468,0.014239355640554513,69.19467048645019,,,64.26590050301664,-0.7387460829228729,-1.0081625115525072,71.86503270969777,75.31757140751543,49.729907033877865,57.48077080243413,71.44751374802037,66.94182722488002,-11977900.0,0
2018-03-02,68.91090393066406,70.0116631749026,68.27316727749678,68.98079488763729,1373800.0,-0.0034112649087679747,0.014228780838130842,69.08419723510742,,,55.09764511319786,-0.7363698202644855,-0.9538039732949029,71.74918452228468,75.25382347242238,37.1665808938759,47.722727563045375,71.1482152984295,67.02017917178534,-13351700.0,0
2018-03-05,70.05534362792969,70.65813477626878,68.71871079377715,68.77986371216426,1992400.0,0.016607526994815158,0.014422598691278573,69.05788650512696,,,60.79926878414591,-0.6348220623284249,-0.8900075911016073,71.68275938917273,75.20209730481548,62.20312781643398,49.69987191472925,71.0538297841208,67.06194322613312,-11359300.0,0
2018-03-06,69.61851501464844,70.21257462069066,69.46126374642648,70.02037788562313,1122500.0,-0.006235478846571496,0.014393203728490008,69.11401596069337,,,54.52746650117458,-0.582874140647931,-0.8285809010108721,71.60180862938746,75.1465392720775,47.18274469250929,48.85081780093973,71.10655439794395,67.12147752344278,-12481800.0,0
2018-03-07,70.04660034179688,70.34362687593573,69.14677603933563,69.39138769454827,1061800.0,0.006149015489031351,0.012819712076583232,69.16730613708496,,,59.05967363654558,-0.5013825047935541,-0.7631412217674085,71.5408200690898,75.0957936110797,53.5617686162177,54.31588037505366,71.20141860059337,67.13319367357656,-11420000.0,0
2018-03-08,70.5882568359375,70.83286853148529,70.1077648159909,70.32616906775412,948000.0,0.007732802041749087,0.012835632625982057,69.29136009216309,,,55.767201243505696,-0.38861295574778865,-0.6882355685634846,71.50346464818188,75.05094249888923,69.92104396337145,56.88851909069948,71.35564817769755,67.22707200662863,-10472000.0,0
2018-03-09,71.07746124267578,71.0949306454766,70.29120481329876,70.7018057633716,665900.0,0.006930393647137434,0.012486679523491943,69.52286872863769,,,54.66360284193107,-0.2568072543254232,-0.6019499057158723,71.48675863227967,75.01140537196173,84.69614530055728,69.39298596004882,71.25617068086856,67.78956677640682,-9806100.0,0
2018-03-12,71.81133270263672,71.97732210702476,71.04255194973237,71.06875939986303,959300.0,0.01032495318671156,0.011016577227742535,69.70895080566406,,,62.48684476732639,-0.09207164809363633,-0.49997425419142505,71.49948702719564,74.97956385286396,95.51883190559843,83.37867372317572,71.58742347802976,67.83047813329836,-8846800.0,0
2018-03-13,70.54456329345703,72.22190610896767,70.43972686804966,72.06465480344056,916500.0,-0.017640243698376246,0.010864422683977094,69.832568359375,,,59.634667283112485,-0.06300887074581851,-0.4125811775023038,71.46203903763727,74.9354344940639,57.52206243313799,79.24567987976458,71.57823017304902,68.08690654570098,-9763300.0,0
2018-03-14,70.93767547607422,71.4880582790906,70.37856130471896,70.79790026581874,904400.0,0.005572536908080128,0.01088519576834676,69.93871231079102,71.25053970336914,,62.058629378388865,-0.00816146229307435,-0.3316972344604579,71.44147576071323,74.8956557973675,67.47744817514095,73.50611417129247,71.68196476728049,68.19545985430155,-8858900.0,0
2018-03-15,71.17356872558594,71.83751942478938,70.93768843401529,71.03378682463031,785300.0,0.003325359168151465,0.010699835980379232,70.07587051391602,71.12577026367188,,54.895097421533,0.053720857251093435,-0.25461361611814765,71.43096960247294,74.85862010511096,73.45133653746268,66.15028238191388,71.74972797529794,68.40201305253409,-8073600.0,0
