Date,Close,High,Low,Open,Volume
,SNA,SNA,SNA,SNA,SNA
2020-12-04,161.5094451904297,161.59860471905864,158.02298516096963,158.57582049856327,393400
2020-12-07,160.36805725097656,161.96415253064083,159.5566282021515,160.59097642224236,521800
2020-12-08,161.3221435546875,162.10682338815366,158.7719477018289,159.19103683052955,333400
2020-12-09,162.3565216064453,163.38194453606,160.77824978078954,161.9998427048206,356000
2020-12-10,161.1973419189453,162.49027064682178,159.23565554500425,161.44701035167006,494200
2020-12-11,161.1973419189453,162.74886455594253,160.27891584015595,160.27891584015595,477100
2020-12-14,156.2039337158203,162.58834280476867,156.07018763953417,162.57051906520255,424100
2020-12-15,155.9899444580078,157.85354573910527,154.87534843736458,157.83570839312063,645300
2020-12-16,153.2970733642578,156.64977322409152,152.4945696890241,156.3466063784173,707100
2020-12-17,152.61940002441406,154.26008202445863,151.24621017205558,153.36840524975077,755700
2020-12-18,151.46023559570312,153.1098432684049,149.6501326152104,152.74425248166847,1223900
2020-12-21,151.32647705078125,151.74555263304606,147.62601013456197,149.81061559266996,381000
2020-12-22,149.3915252685547,151.76338882488056,148.75844235908713,151.60289353151973,367400
2020-12-23,149.65904235839844,151.14814109623137,149.21320392410442,150.0157212693792,255600
2020-12-24,151.37998962402344,151.49589836785734,149.48962536271904,151.09464648801162,106400
2020-12-28,151.9149627685547,153.27922710062174,150.86279073975834,152.2894653689351,280700
2020-12-29,150.56854248046875,152.94040599431958,149.1507796575377,152.83339552808712,154500
2020-12-30,152.43212890625,153.28814452351483,150.9073693709341,150.9073693709341,259900
2020-12-31,152.60157775878906,152.82449697449408,150.95197012020827,151.90607089426214,287800
2021-01-04,148.83872985839844,153.36845085352596,148.01838861444946,153.118782370842,414700
2021-01-05,148.66033935546875,150.7022729959777,148.36608441405008,149.04375380264946,363100
2021-01-06,154.8129425048828,156.06129835649637,149.85522100636027,149.85522100636027,338600
2021-01-07,156.81918334960938,157.29177093164827,153.27922561598473,155.49059371953697,361000
2021-01-08,154.16201782226562,157.05996773082674,152.26274168214832,157.00646929407577,277600
2021-01-11,152.82449340820312,155.37468972059386,152.17357312318885,152.77990684492076,254000
2021-01-12,155.38356018066406,155.80264927319382,152.3607770360612,153.79637691334486,367100
2021-01-13,153.00283813476562,155.9810357567918,151.97741512785976,155.526285429591,313300
2021-01-14,151.67420959472656,154.47407384201543,151.46911416087815,154.2244054586322,320000
2021-01-15,150.30996704101562,151.19271837894271,147.911354234822,150.48829968260333,383600
2021-01-19,153.78750610351562,154.60784716584826,150.69338637178788,151.6742363408317,481600
2021-01-20,156.48037719726562,157.77330592422186,154.2868461331348,154.32252082687532,442800
2021-01-21,157.033203125,158.26372147333421,154.8218484518862,156.03452945441475,418200
2021-01-22,158.7006378173828,159.61015199033412,155.43711097192576,156.89053494752937,542700
2021-01-25,159.8509063720703,162.94502600738062,157.3363712239195,158.58472692797545,662800
2021-01-26,160.21649169921875,160.9209240380389,157.48796268413412,160.9209240380389,463800
2021-01-27,167.27859497070312,169.40970225681178,157.8268142138381,158.26374080103224,1211600
2021-01-28,162.68643188476562,172.1114623333044,161.2865063627904,168.52691773375741,1145400
2021-01-29,160.492919921875,164.40738071968127,160.0114068071895,162.56160312323493,464200
2021-02-01,165.1563720703125,166.54738565155574,161.28649816230856,162.20492414494757,607500
2021-02-02,159.2713165283203,166.5384911076648,158.66498279378942,165.771648463111,721800
2021-02-03,158.11215209960938,159.2891585151228,156.7389620746159,159.2891585151228,662100
2021-02-04,168.40206909179688,172.5751096900654,166.6722140450949,168.3039841064919,2248700
2021-02-05,164.39845275878906,169.41859766452876,163.2660329811804,169.41859766452876,625100
2021-02-08,165.38821411132812,166.31556563099184,164.30929276964716,165.55763488545372,444600
2021-02-09,168.91033935546875,168.99951248293306,163.96154371710566,165.2633843002672,350700
2021-02-10,169.01731872558594,169.60582860436622,167.80463788714766,169.4185705135156,494500
2021-02-11,169.32049560546875,170.03383971861274,166.4314580698939,169.4185805910999,443600
2021-02-12,169.3739776611328,170.03382328304372,167.84921820250514,168.63388440580067,351100
2021-02-16,168.1435089111328,170.29243976349625,167.80466735670893,169.472098700178,396200
2021-02-17,168.4110107421875,169.50778311888496,166.7881658689635,167.41233697404965,514000
2021-02-18,170.8185577392578,172.09364923122214,167.57284061954428,168.09001487688622,557600
2021-02-19,173.84133911132812,174.42092366963638,170.88096519244195,171.13954551383375,553400
2021-02-22,174.22718811035156,175.11554416483554,172.49531826523128,172.82734270982408,421700
2021-02-23,177.10760498046875,177.72677042025902,172.32479157319716,175.77058006086148,475700
2021-02-24,185.58750915527344,185.60544606237363,177.36788724587515,178.2113874176307,871500
2021-02-25,183.1197967529297,186.04511409541902,180.07780738099294,185.52465634265226,529300
2021-02-26,182.25833129882812,184.34014844816147,180.93924327417406,182.42882771854818,677100
2021-03-01,187.25650024414062,188.8806936382181,184.32221463925117,184.85164080978927,565200
2021-03-02,188.36024475097656,189.81392809834105,186.46686080330016,187.37316735937546,651000
2021-03-03,192.37132263183594,196.20294598977216,189.1678194360005,189.24857656893138,694600
2021-03-04,189.23065185546875,192.82000404579378,185.6682187111878,191.75216957840536,508800
2021-03-05,194.9825897216797,196.0235052038155,190.0472301717483,192.01240280148784,522800
2021-03-08,195.8260955810547,198.84115223484574,194.24678540708535,195.62868009777188,452700
2021-03-09,195.1979522705078,197.98867425877287,194.06731121416323,196.01453321290296,475600
2021-03-10,196.41835021972656,196.83113179987976,193.89683216901867,194.85697688474767,647200
2021-03-11,192.74822998046875,196.46320923157555,192.55978295157294,195.47613182744135,548100
2021-03-12,195.03643798828125,195.3504981022316,192.75719158777542,194.15703680771819,281400
2021-03-15,200.18714904785156,200.19613119172175,194.15703605285594,194.66852533092703,624200
2021-03-16,197.95281982421875,199.27190812309524,195.66460458990477,199.18216882281044,331300
2021-03-17,199.92691040039062,200.1153437138969,196.45420300771295,198.84112538892902,449700
2021-03-18,202.36769104003906,205.61605056275528,200.68069103972368,201.48828984839358,375700
2021-03-19,202.25999450683594,204.04570218658318,198.24889225826988,201.40752608298487,1282900
2021-03-22,197.4592742919922,201.936983161517,196.41835869044914,201.936983161517,449700
2021-03-23,193.21484375,199.28981274949575,192.02138244945533,196.22091813050633,567400
2021-03-24,193.36740112304688,196.90290190052943,193.24177433087533,194.99158096908357,468800
2021-03-25,201.23703002929688,202.08053000326623,192.25468090548185,193.48402967606273,435400
2021-03-26,206.05577087402344,206.16344707420384,202.21516455492343,203.0227634408645,308700
2021-03-29,204.50332641601562,209.86941755888725,203.72264673108617,206.3967101593812,443000
2021-03-30,208.2183074951172,208.5234128271194,204.55718043400583,204.55718043400583,323800
2021-03-31,207.05181884765625,209.25029467424966,205.49044546814835,207.50048794256486,453600
2021-04-01,207.94915771484375,208.29013691732496,203.56117450003586,206.40573492794704,359900
2021-04-05,210.22836303710938,211.21544039615773,208.55931367054097,210.73985231196872,285700
2021-04-06,209.73483276367188,211.8435828005692,209.17848751661512,210.86548754613298,276500
2021-04-07,211.05398559570312,211.10782370808204,208.59528718175116,209.8336048433579,334700
2021-04-08,210.30014038085938,210.45268620224775,208.44264409421112,210.39884811143912,579600
2021-04-09,211.40386962890625,212.23840114217037,209.24128162470663,211.8794577038823,280600
2021-04-12,212.0589599609375,212.88450942279434,210.32709019690253,211.03598131674585,303300
2021-04-13,208.99905395507812,211.63723058647324,208.056846059252,211.42186447842025,386000
2021-04-14,209.3041229248047,210.86549623083278,209.01696814527577,209.71690449730414,347400
2021-04-15,208.30807495117188,209.61819465816376,207.20435287451346,209.2592511873404,403700
2021-04-16,211.341064453125,212.01406800044353,209.0438812023778,209.8694305773468,289800
2021-04-19,211.78074645996094,213.1536725694649,209.39383767329215,212.34607380821265,359600
2021-04-20,210.48863220214844,213.65623501380054,208.0209521045994,212.26535803854128,506900
2021-04-21,212.66014099121094,213.40493318634063,209.9142751652434,210.03093348866474,405900
2021-04-22,215.56753540039062,217.2724860648572,210.88342926066343,213.43187995913124,862500
2021-04-23,214.18563842773438,217.31733970893765,213.9971913975962,217.31733970893765,477200
2021-04-26,211.7628173828125,216.70714524997382,211.51156381703652,214.48175065640393,492200
2021-04-27,215.0919647216797,215.33424987055858,210.03097779972114,211.52953095705647,429800
